Match,Duo1_W/L,Duo1_Points,Duo1_Carry_KDA,Duo1_Carry_Pts,Duo1_Carry_Elo,Duo1_Noob_KDA,Duo1_Noob_Pts,Duo1_Noob_Elo,Duo2_W/L,Duo2_Points,Duo2_Carry_KDA,Duo2_Carry_Pts,Duo2_Carry_Elo,Duo2_Noob_KDA,Duo2_Noob_Pts,Duo2_Noob_Elo,Duo3_W/L,Duo3_Points,Duo3_Carry_KDA,Duo3_Carry_Pts,Duo3_Carry_Elo,Duo3_Noob_KDA,Duo3_Noob_Pts,Duo3_Noob_Elo
16,W,485,20/1/25,22,B2 45LP (x0.80),5/3/8,12,B2 41LP (x1.05),16,L,379,9/3/8,-15,B2 34LP (x0.88),4/7/4,-25,B2 39LP (x1.00),16,W,954,20/2/18,29,B1 30LP (x0.95),14/1/18,38,B1 30LP (x1.00)
17,W,495,16/1/23,10,B2 73LP (x0.80),5/3/9,0,B2 70LP (x1.05),17,W,393,14/2/17,10,B2 62LP (x0.88),7/2/8,4,B2 70LP (x1.00),17,L,938,8/3/8,-9,B1 10LP (x0.95),6/4/6,-7,B1 12LP (x1.00)
18,W,547,18/1/23,56,B1 0LP (x0.80),4/4/9,-4,B2 98LP (x1.05),18,W,394,16/1/20,4,B2 87LP (x0.88),10/2/9,-3,B2 98LP (x1.00),18,W,985,15/1/14,21,B1 38LP (x0.95),10/2/17,26,B1 38LP (x1.00)
19,W,640,16/1/16,22,B1 27LP (x0.80),6/3/9,71,B1 26LP (x1.05),19,W,525,15/1/21,61,B1 13LP (x0.88),10/3/13,70,B1 25LP (x1.00),19,L,964,6/3/11,-12,B1 20LP (x0.95),7/4/6,-9,B1 15LP (x1.00)
20,W,703,20/1/16,37,B1 57LP (x0.80),4/4/5,26,B1 53LP (x1.05),20,W,558,15/1/21,21,B1 40LP (x0.88),10/3/7,12,B1 53LP (x1.00),20,W,1004,15/2/12,14,B1 48LP (x0.95),11/3/18,26,B1 44LP (x1.00)
21,L,657,4/6/4,-20,B1 38LP (x0.80),2/6/3,-26,B1 32LP (x1.05),21,W,620,15/1/20,33,B1 66LP (x0.88),8/2/14,29,B1 79LP (x1.00),21,W,1021,12/2/17,3,B1 78LP (x0.95),11/3/17,14,B1 72LP (x1.00)
22,W,674,20/0/25,18,B1 65LP (x0.80),5/4/4,-1,B1 63LP (x1.05),22,W,692,16/2/21,2,B1 91LP (x0.88),10/3/7,70,S4 8LP (x1.00),22,W,1101,13/1/16,67,S4 7LP (x0.95),14/2/10,13,B1 98LP (x1.00)
23,L,633,12/3/9,-15,B1 44LP (x0.80),4/7/4,-26,B1 43LP (x1.05),23,L,645,8/3/8,-22,B1 72LP (x0.88),4/7/5,-25,B1 75LP (x1.00),23,W,1196,15/1/21,25,S4 34LP (x0.95),12/2/10,70,S4 27LP (x1.00)
24,L,605,8/3/8,-12,B1 22LP (x0.80),5/6/7,-16,B1 20LP (x1.05),24,W,776,14/1/20,61,S4 2LP (x0.88),7/2/7,70,S4 4LP (x1.00),24,W,1280,16/2/21,38,S4 62LP (x0.95),14/2/10,46,S4 55LP (x1.00)
25,W,646,20/1/23,21,B1 50LP (x0.80),11/4/12,20,B1 50LP (x1.05),25,W,820,18/2/20,25,S4 32LP (x0.88),8/3/9,19,S4 29LP (x1.00),25,L,1247,9/3/9,-20,S4 42LP (x0.95),6/3/10,-13,S4 34LP (x1.00)
26,W,650,20/1/22,12,B1 79LP (x0.80),4/4/7,-8,B1 80LP (x1.05),26,L,802,8/3/8,-9,S4 10LP (x0.88),5/4/6,-9,S4 10LP (x1.00),26,L,1217,7/5/8,-17,S4 20LP (x0.95),4/6/8,-13,S4 11LP (x1.00)
27,L,604,12/3/9,-20,B1 60LP (x0.80),3/6/4,-26,B1 58LP (x1.05),27,L,755,9/3/8,-22,B1 75LP (x0.88),6/7/6,-25,B1 75LP (x1.00),27,W,1266,15/1/20,20,S4 48LP (x0.95),13/2/14,29,S4 40LP (x1.00)
28,L,559,8/3/13,-19,B1 43LP (x0.80),2/7/8,-26,B1 38LP (x1.05),28,L,708,8/3/11,-22,B1 56LP (x0.88),6/6/6,-25,B1 55LP (x1.00),28,L,1239,6/3/11,-16,S4 28LP (x0.95),7/6/7,-11,S4 22LP (x1.00)
29,L,513,8/3/8,-20,B1 22LP (x0.80),3/8/2,-26,B1 19LP (x1.05),29,W,711,20/1/16,8,B1 83LP (x0.88),6/3/8,-5,B1 82LP (x1.00),29,W,1269,13/2/18,12,S4 54LP (x0.95),8/2/16,18,S4 50LP (x1.00)
30,W,532,16/1/18,16,B1 48LP (x0.80),4/3/4,3,B1 45LP (x1.05),30,L,664,8/3/8,-22,B1 63LP (x0.88),4/6/8,-25,B1 63LP (x1.00),30,W,1288,18/1/16,8,S4 80LP (x0.95),11/3/16,11,S4 76LP (x1.00)
31,W,540,20/1/17,10,B1 76LP (x0.80),4/3/10,-2,B1 73LP (x1.05),31,W,663,15/1/20,3,B1 89LP (x0.88),6/3/14,-4,B1 92LP (x1.00),31,L,1239,7/3/8,-24,S4 60LP (x0.95),7/6/10,-25,S4 57LP (x1.00)
32,W,592,20/1/20,56,S4 2LP (x0.80),5/3/8,-4,B1 98LP (x1.05),32,W,794,8/2/8,61,S4 20LP (x0.88),8/2/12,70,S4 22LP (x1.00),32,L,1196,8/3/7,-21,S4 42LP (x0.95),5/6/6,-22,S4 38LP (x1.00)
33,L,546,10/3/8,-20,B1 75LP (x0.80),2/6/4,-26,B1 77LP (x1.05),33,W,850,15/2/22,26,S4 49LP (x0.88),12/2/10,30,S4 50LP (x1.00),33,L,1153,9/3/7,-23,S4 22LP (x0.95),6/6/10,-20,S4 19LP (x1.00)
34,L,500,5/6/6,-20,B1 55LP (x0.80),4/7/4,-26,B1 55LP (x1.05),34,W,861,20/1/13,9,S4 76LP (x0.88),7/3/13,2,S4 75LP (x1.00),34,W,1185,13/2/20,15,S4 48LP (x0.95),8/2/13,17,S4 50LP (x1.00)
35,L,454,9/3/11,-20,B1 34LP (x0.80),3/7/4,-26,B1 37LP (x1.05),35,L,815,10/3/11,-21,S4 54LP (x0.88),4/8/4,-25,S4 52LP (x1.00),35,W,1204,14/2/12,3,S4 73LP (x0.95),13/2/18,16,S4 77LP (x1.00)
36,L,423,9/3/12,-10,B1 16LP (x0.80),5/6/4,-21,B1 18LP (x1.05),36,L,780,9/3/10,-15,S4 32LP (x0.88),5/6/6,-20,S4 31LP (x1.00),36,L,1157,6/3/8,-24,S4 50LP (x0.95),7/4/9,-23,S4 58LP (x1.00)
37,W,454,18/2/17,18,B1 43LP (x0.80),8/4/8,13,B1 47LP (x1.05),37,W,803,20/1/17,17,S4 61LP (x0.88),6/2/9,6,S4 62LP (x1.00),37,L,1110,6/3/11,-22,S4 28LP (x0.95),5/4/5,-25,S4 37LP (x1.00)
38,W,470,20/2/14,10,B1 70LP (x0.80),10/4/12,6,B1 75LP (x1.05),38,W,805,18/1/13,4,S4 91LP (x0.88),6/2/14,-2,S4 92LP (x1.00),38,W,1134,16/1/18,16,S4 58LP (x0.95),7/2/13,8,S4 63LP (x1.00)
39,W,541,6/2/11,-3,B1 98LP (x0.80),6/2/13,74,S4 1LP (x1.05),39,L,758,8/3/11,-22,S4 70LP (x0.88),3/4/8,-25,S4 71LP (x1.00),39,W,1154,18/1/21,9,S4 84LP (x0.95),13/2/18,11,S4 91LP (x1.00)
40,W,616,20/0/25,56,S4 29LP (x0.80),5/2/10,19,S4 27LP (x1.05),40,W,899,20/2/21,67,S3 1LP (x0.95),6/2/16,74,S3 1LP (x1.05),40,L,1105,7/5/8,-24,S4 61LP (x0.95),6/6/9,-25,S4 70LP (x1.00)
41,W,676,16/2/23,34,S4 59LP (x0.80),4/4/5,26,S4 53LP (x1.05),41,W,952,20/1/14,29,S3 31LP (x0.95),10/2/7,24,S3 26LP (x1.05),41,W,1106,15/2/16,1,S4 90LP (x0.95),12/2/9,0,S4 99LP (x1.00)
42,W,677,6/2/7,-10,S4 89LP (x0.80),10/2/18,11,S4 83LP (x1.05),42,W,998,15/2/14,21,S3 56LP (x0.95),10/2/9,25,S3 52LP (x1.05),42,W,1246,19/0/25,70,S3 18LP (x1.00),10/1/9,70,S3 30LP (x1.00)
43,W,815,15/1/16,61,S3 18LP (x0.88),5/2/8,77,S3 10LP (x1.10),43,W,990,6/2/7,-10,S3 87LP (x0.95),8/4/13,2,S3 78LP (x1.05),43,W,1298,13/2/17,26,S3 49LP (x1.00),10/1/12,26,S3 59LP (x1.00)
44,W,857,20/1/25,25,S3 43LP (x0.88),6/2/9,17,S3 39LP (x1.10),44,W,1131,20/1/22,67,S2 18LP (x0.95),2/4/4,74,S2 5LP (x1.05),44,W,1310,15/2/16,5,S3 78LP (x1.00),14/2/9,7,S3 87LP (x1.00)
45,W,872,18/1/21,13,S3 73LP (x0.88),6/1/6,2,S3 68LP (x1.10),45,W,1170,14/1/14,16,S2 44LP (x0.95),6/2/16,23,S2 35LP (x1.05),45,W,1450,13/2/12,70,S2 3LP (x1.00),13/1/10,70,S2 12LP (x1.00)
46,L,823,9/3/12,-21,S3 53LP (x0.88),4/8/5,-28,S3 51LP (x1.10),46,L,1142,9/3/7,-14,S2 26LP (x0.95),4/6/8,-14,S2 14LP (x1.05),46,W,1500,12/1/20,24,S2 31LP (x1.00),13/1/10,26,S2 39LP (x1.00)
47,W,840,20/1/22,11,S3 81LP (x0.88),10/4/13,6,S3 76LP (x1.10),47,L,1111,9/3/12,-5,S2 6LP (x0.95),5/4/7,-26,S3 75LP (x1.05),47,L,1478,9/3/8,-9,S2 14LP (x1.00),7/7/6,-13,S2 20LP (x1.00)
48,W,978,18/1/16,61,S2 8LP (x0.88),8/3/10,77,S2 1LP (x1.10),48,W,1206,14/1/14,21,S2 33LP (x0.95),7/3/12,74,S2 6LP (x1.05),48,W,1524,12/1/12,16,S2 42LP (x1.00),14/2/18,30,S2 46LP (x1.00)
49,L,928,9/3/11,-22,S3 75LP (x0.88),2/8/5,-28,S3 75LP (x1.10),49,W,1234,13/2/13,8,S2 61LP (x0.95),8/2/9,20,S2 32LP (x1.05),49,W,1538,13/1/17,8,S2 68LP (x1.00),8/2/12,6,S2 77LP (x1.00)
50,W,1066,20/1/17,61,S2 4LP (x0.88),7/2/9,77,S2 0LP (x1.10),50,W,1269,20/2/20,17,S2 90LP (x0.95),8/2/7,18,S2 61LP (x1.05),50,W,1615,16/2/12,7,S2 97LP (x1.00),13/2/12,70,S1 7LP (x1.00)

=== SUMMARY WITH PEAK ELO MULTIPLIER (HYBRID) ===
Duo1: 34W/16L (68.0%) - Carry: S2 4LP (peak D4, mult x0.88) - Noob: S2 0LP (peak B4, mult x1.10) - Total: 1066 pts
Duo2: 35W/15L (70.0%) - Carry: S2 90LP (peak E4, mult x0.95) - Noob: S2 61LP (peak S4, mult x1.05) - Total: 1269 pts
Duo3: 36W/14L (72.0%) - Carry: S2 97LP (peak P4, mult x1.00) - Noob: S1 7LP (peak G4, mult x1.00) - Total: 1615 pts
